交通調査基本区間番号,世代管理番号（十の位）,世代管理番号（一の位）,道路種別,路線番号,路線名,起点側／接続区分,起点側／交通調査基本区間番号,起点側／世代管理番号（十の位）,起点側／路線名等,起点側／備考,終点側／接続区分,終点側／交通調査基本区間番号,終点側／世代管理番号（十の位）,終点側／路線名等,終点側／備考,現道旧道区分,管理区分,市区町村コード,自動車専用道路の別,区間種別,分離区間／分離区分,分離区間／交通調査基本区間番号,区間延長（ｋｍ）,高規格道路の別,一般国道指定区間,一方通行フラグ,平成２７年度／交通調査基本区間番号,平成２７年度／世代管理番号（十の位）,平成２７年度／世代管理番号（一の位）,交通量／都道府県指定市コード,交通量／調査単位区間番号,上り／観測地点交通調査基本区間番号,上り／交通量観測地点地名,上り／令和３年度調査交通量観測・非観測の別,上り／個別調査結果活用の別,上り／１２時間・２４時間観測の別,上り／交通量観測年月日,上り／昼間１２時間自動車類交通量／小型車（台）,上り／昼間１２時間自動車類交通量／大型車（台）,上り／昼間１２時間自動車類交通量／合計（台）,上り／２４時間自動車類交通量／小型車（台）,上り／２４時間自動車類交通量／大型車（台）,上り／２４時間自動車類交通量／合計（台）,下り／観測地点交通調査基本区間番号,下り／交通量観測地点地名,下り／令和３年度調査交通量観測・非観測の別,下り／個別調査結果活用の別,下り／１２時間・２４時間観測の別,下り／交通量観測年月日,下り／昼間１２時間自動車類交通量／小型車（台）,下り／昼間１２時間自動車類交通量／大型車（台）,下り／昼間１２時間自動車類交通量／合計（台）,下り／２４時間自動車類交通量／小型車（台）,下り／２４時間自動車類交通量／大型車（台）,下り／２４時間自動車類交通量／合計（台）,昼間１２時間自動車類交通量（上下合計）／小型車（台）,昼間１２時間自動車類交通量（上下合計）／大型車（台）,昼間１２時間自動車類交通量（上下合計）／合計（台）,２４時間自動車類交通量（上下合計）／小型車（台）,２４時間自動車類交通量（上下合計）／大型車（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,昼間１２時間ピーク比率（％）,昼間１２時間大型車混入率（％）,混雑度,平成２７年度／交通量／都道府県指定市コード,平成２７年度／交通量／調査単位区間番号,平成２７年度／昼間１２時間自動車類交通量（台）,平成２７年度／２４時間自動車類交通量（台）,旅行速度／都道府県指定市コード,旅行速度／調査単位区間番号,朝夕（混雑時）／上り／旅行速度計測・非計測の別,朝夕（混雑時）／上り／旅行速度／小型車（ｋｍ／ｈ）,朝夕（混雑時）／上り／旅行速度／大型車（ｋｍ／ｈ）,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／上り／取得件数／小型車（件）,朝夕（混雑時）／上り／取得件数／大型車（件）,朝夕（混雑時）／上り／取得件数／合計（件）,朝夕（混雑時）／下り／旅行速度計測・非計測の別,朝夕（混雑時）／下り／旅行速度／小型車（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／大型車（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／取得件数／小型車（件）,朝夕（混雑時）／下り／取得件数／大型車（件）,朝夕（混雑時）／下り／取得件数／合計（件）,昼間（非混雑時）／上り／旅行速度計測・非計測の別,昼間（非混雑時）／上り／旅行速度／小型車（ｋｍ／ｈ）,昼間（非混雑時）／上り／旅行速度／大型車（ｋｍ／ｈ）,昼間（非混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,昼間（非混雑時）／上り／取得件数／小型車（件）,昼間（非混雑時）／上り／取得件数／大型車（件）,昼間（非混雑時）／上り／取得件数／合計（件）,昼間（非混雑時）／下り／旅行速度計測・非計測の別,昼間（非混雑時）／下り／旅行速度／小型車（ｋｍ／ｈ）,昼間（非混雑時）／下り／旅行速度／大型車（ｋｍ／ｈ）,昼間（非混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,昼間（非混雑時）／下り／取得件数／小型車（件）,昼間（非混雑時）／下り／取得件数／大型車（件）,昼間（非混雑時）／下り／取得件数／合計（件）,昼間１２時間平均旅行速度（時間帯別交通量加重）／上り（ｋｍ／ｈ）,昼間１２時間平均旅行速度（時間帯別交通量加重）／下り（ｋｍ／ｈ）,平成２７年度／旅行速度／都道府県指定市コード,平成２７年度／旅行速度／調査単位区間番号,平成２７年度／混雑時／上り／平均旅行速度（ｋｍ／ｈ）,平成２７年度／混雑時／下り／平均旅行速度（ｋｍ／ｈ）,平成２７年度／昼間非混雑時／上り／平均旅行速度（ｋｍ／ｈ）,平成２７年度／昼間非混雑時／下り／平均旅行速度（ｋｍ／ｈ）,道路状況／都道府県指定市コード,道路状況／調査単位区間番号,区間延長／改良済み区間率（％）,区間延長／5.5ｍ以上改良済み区間率（％）,幅員構成／道路部幅員（ｍ）,幅員構成／車道部幅員（ｍ）,幅員構成／車道幅員（ｍ）,幅員構成／中央帯幅員（ｍ）,幅員構成／歩道幅員／上り（ｍ）,幅員構成／歩道幅員／下り（ｍ）,幅員構成／自転車道幅員／上り（ｍ）,幅員構成／自転車道幅員／下り（ｍ）,幅員構成／停車帯等幅員／上り（ｍ）,幅員構成／停車帯等幅員／下り（ｍ）,車線数,交通安全施設等／歩道設置率（％）,交通安全施設等／自転車歩行者道設置率（％）,交通安全施設等／自転車道設置率（％）,交通安全施設等／自転車レーン設置率（％）,交通安全施設等／両側歩道設置率（％）,交通安全施設等／両側自転車歩行者道設置率（％）,交通安全施設等／両側自転車道設置率（％）,交通安全施設等／両側自転車レーン設置率（％）,交通安全施設等／歩道代表幅員（ｍ）,交通安全施設等／自転車道代表幅員（ｍ）,バス路線／バス路線延長率（％）,バス路線／バス優先・専用レーンの有無,交差点密度／信号交差点（箇所／ｋｍ）,交差点密度／信号のない交差点（箇所／ｋｍ）,代表信号交差点／青時間比（％）,代表信号交差点／右折専用車線の有無等,鉄道との平面交差箇所の有無,指定最高速度（ｋｍ／ｈ）,付加車線及び登坂車線設置箇所の有無／上り,付加車線及び登坂車線設置箇所の有無／下り,代表沿道状況,中央分離帯／中央分離帯の種類,中央分離帯／中央分離帯の設置状況,軌道の有無,自転車通行可能区分,異常気象時等通行規制区分,リバーシブルレーン運用の有無,アクセスコントロール,平成２７年度／道路状況／都道府県指定市コード,平成２７年度／道路状況／調査単位区間番号,交通調査基本区間番号,世代管理番号（十の位）,世代管理番号（一の位）,道路種別,路線番号,路線名
13300040140,0,0,3,4,一般国道４号,2,13604520080,0,神田白山線,,1,13200110050,0,高速１号上野線,,1,1,13106,0,0,0,,0.3,0,1,0,13300040140,0,0,13100,11040,13300040120,台東区上野7丁目1,2,1,2,20191126,11270,1987,13257,16880,3337,20217,13300040120,台東区上野7丁目1,2,1,2,20191126,9141,1872,11013,15082,2805,17887,20411,3859,24270,31962,6142,38104,1.57,8.9,15.9,0.44,13100,11040,48793,74653,13100,11120,1,18.1,17.9,18.1,13786,9455,23241,1,17.6,16.5,17.5,12800,3759,16559,1,18.1,19.2,18.3,42886,25769,68655,1,23.9,24.5,24,39228,28561,67789,18.2,21.6,13100,11120,25.2,19.2,24.8,21.1,13100,11030,100,100,54.5,32.5,21.75,10.2,5.9,5.9,0,0,0,0,6,100,100,0,0,100,100,0,0,5.9,0,52.2,3,5.7,13,45,3,2,60,2,2,1,1,1,4,1,1,2,4,13100,11030,13300040140,0,0,3,4,一般国道４号
13300040150,0,0,3,4,一般国道４号,1,13200110050,0,高速１号上野線,,1,13403190240,0,環状三号線,,1,1,13106,0,0,0,,0.1,0,1,0,13300040150,0,0,13100,11040,13300040120,台東区上野7丁目1,2,1,2,20191126,11270,1987,13257,16880,3337,20217,13300040120,台東区上野7丁目1,2,1,2,20191126,9141,1872,11013,15082,2805,17887,20411,3859,24270,31962,6142,38104,1.57,8.9,15.9,0.44,13100,11040,48793,74653,13100,11130,1,21.6,16.3,20.3,32427,13423,45850,1,12.4,11.2,12.3,14652,3825,18477,1,21.4,17.5,20.7,86263,41350,127613,1,16.8,15.7,16.6,44053,29785,73838,20.6,15,13100,11130,27.3,14.6,26.4,18.3,13100,11030,100,100,54.5,32.5,21.75,10.2,5.9,5.9,0,0,0,0,6,100,100,0,0,100,100,0,0,5.9,0,52.2,3,5.7,13,45,3,2,60,2,2,1,1,1,4,1,1,2,4,13100,11030,13300040150,0,0,3,4,一般国道４号
13300040160,0,0,3,4,一般国道４号,1,13403190240,0,環状三号線,,1,13604620040,0,蔵前三ノ輪線,,1,1,13106,0,0,0,,1.2,0,1,0,13300040160,0,0,13100,11050,13300040160,台東区下谷3-20,1,0,1,20210914,14075,2254,16329,21483,3634,25117,13300040160,台東区下谷3-20,1,0,1,20210914,10494,2382,12876,16018,3841,19859,24569,4636,29205,37501,7475,44976,1.54,9.4,15.9,1.14,13100,11050,27578,42194,13100,11140,1,14.1,12.5,13.8,19948,11035,30983,1,8.1,6.9,8,15685,3994,19679,1,20,19,19.9,58716,33820,92536,1,18,18.1,18,49612,33206,82818,17.2,12.9,13100,11140,15.1,8.9,20.4,13.9,13100,11040,100,100,33.5,22,21.5,0.5,5.5,5.5,0,0,0,0,6,100,100,0,0,100,100,0,0,5.5,0,15.4,3,5.4,15.4,44,1,2,60,2,2,1,4,2,4,1,1,2,4,13100,11040,13300040160,0,0,3,4,一般国道４号
13300040170,0,0,3,4,一般国道４号,1,13604620040,0,蔵前三ノ輪線,,1,13403060090,0,王子千住夢の島線,,1,1,13106,0,0,0,,0.1,0,1,0,13300040170,0,0,13100,11050,13300040160,台東区下谷3-20,1,0,1,20210914,14075,2254,16329,21483,3634,25117,13300040160,台東区下谷3-20,1,0,1,20210914,10494,2382,12876,16018,3841,19859,24569,4636,29205,37501,7475,44976,1.54,9.4,15.9,1.14,13100,11050,27578,42194,13100,11150,1,17.7,17.7,17.7,22273,13111,35384,1,8.6,8.8,8.6,18870,5148,24018,1,18.2,17.8,18.1,64721,37922,102643,1,10.4,10.9,10.5,53911,38733,92644,18,9.8,13100,11150,22.8,8.8,24.2,8.8,13100,11040,100,100,33.5,22,21.5,0.5,5.5,5.5,0,0,0,0,6,100,100,0,0,100,100,0,0,5.5,0,15.4,3,5.4,15.4,44,1,2,60,2,2,1,4,2,4,1,1,2,4,13100,11040,13300040170,0,0,3,4,一般国道４号
13300040180,0,0,3,4,一般国道４号,1,13403060090,0,王子千住夢の島線,,6,,,台東区・荒川区境,,1,1,13106,0,0,0,,0.1,0,1,0,13300040180,0,0,13100,11060,13300040180,台東区根岸5丁目23-8,2,1,2,20191126,12811,2294,15105,19072,4130,23202,13300040180,台東区根岸5丁目23-8,2,1,2,20191126,11257,2427,13684,17744,3389,21133,24068,4721,28789,36816,7519,44335,1.54,8.8,16.4,0.92,13100,11060,31862,48749,13100,11160,1,10.3,10.4,10.3,18896,10781,29677,1,16.4,14.3,16.2,16627,4622,21249,1,12.6,12.4,12.6,55391,31343,86734,1,19.5,17.6,19.1,45604,32573,78177,11.7,18.1,13100,11160,11,19.6,12.4,17.4,13100,11050,100,100,22,16.5,15,0.5,2.7,2.7,0,0,0,0,5,100,100,0,0,100,100,0,0,2.7,0,100,3,10,10,63,2,2,60,2,2,1,6,,4,1,1,2,4,13100,11050,13300040180,0,0,3,4,一般国道４号
13300040190,0,0,3,4,一般国道４号,6,,,台東区・荒川区境,,1,13604640030,0,言問橋南千住線,,1,1,13118,0,0,0,,0.7,0,1,0,13300040190,0,0,13100,11060,13300040180,台東区根岸5丁目23-8,2,1,2,20191126,12811,2294,15105,19072,4130,23202,13300040180,台東区根岸5丁目23-8,2,1,2,20191126,11257,2427,13684,17744,3389,21133,24068,4721,28789,36816,7519,44335,1.54,8.8,16.4,1.2,13100,11060,31862,48749,13100,11160,1,9.9,9.2,9.8,17002,9963,26965,1,13.6,13.6,13.6,17693,4925,22618,1,17.7,16.8,17.6,52999,29474,82473,1,16.4,16.5,16.4,47943,34789,82732,13.7,15.4,13100,11160,9.4,17.2,16.4,18,13100,11060,100,100,25,17,15,0.5,4,4,0,0,0,0,5,100,100,0,0,100,100,0,0,4,0,100,3,7,7,37,1,2,60,2,2,1,1,3,4,1,1,2,4,13100,11060,13300040190,0,0,3,4,一般国道４号
13300040200,0,0,3,4,一般国道４号,1,13604640030,0,言問橋南千住線,,6,,,荒川区・足立区境,,1,1,13118,0,0,0,,0.3,0,1,0,13300040200,0,0,13100,11070,13300040220,足立区千住寿町39-14,2,1,2,20191126,14548,2460,17008,21688,4517,26205,13300040220,足立区千住寿町39-14,2,1,2,20191126,14523,2995,17518,22087,4187,26274,29071,5455,34526,43775,8704,52479,1.52,8.9,15.8,1.52,13100,11070,37146,57205,13100,11170,1,12.5,11.3,12.3,12827,7888,20715,1,22,20.8,21.8,21321,5415,26736,1,37.4,34.5,36.9,47033,24559,71592,1,24.1,23.4,23.9,55807,38988,94795,22.1,23.2,13100,11170,8.7,27.7,24.8,27.2,13100,11060,100,100,25,17,15,0.5,4,4,0,0,0,0,5,100,100,0,0,100,100,0,0,4,0,100,3,7,7,37,1,2,60,2,2,1,1,3,4,1,1,2,4,13100,11060,13300040200,0,0,3,4,一般国道４号
13300040210,0,0,3,4,一般国道４号,6,,,荒川区・足立区境,,1,13604490260,0,新荒川堤防線,,1,1,13121,0,0,0,,0.6,0,1,0,13300040210,0,0,13100,11070,13300040220,足立区千住寿町39-14,2,1,2,20191126,14548,2460,17008,21688,4517,26205,13300040220,足立区千住寿町39-14,2,1,2,20191126,14523,2995,17518,22087,4187,26274,29071,5455,34526,43775,8704,52479,1.52,8.9,15.8,1.31,13100,11070,37146,57205,13100,11170,1,23.8,21.5,23.3,18966,11164,30130,1,16.5,16.1,16.4,21006,5381,26387,1,33.7,31.9,33.5,57314,32236,89550,1,21.1,21,21.1,54832,38871,93703,29.2,19.3,13100,11170,15.1,19.4,35.1,20,13100,11070,100,100,24.3,17.5,15.75,0.8,3,3,0,0,0,0,6,100,100,0,0,100,100,0,0,3,0,100,3,3.8,6.3,42,1,2,60,2,2,1,4,2,4,1,1,2,4,13100,11070,13300040210,0,0,3,4,一般国道４号
13300040220,0,0,3,4,一般国道４号,1,13604490260,0,新荒川堤防線,,2,13403080010,0,千住小松川葛西沖線,,1,1,13121,0,0,0,,1.9,0,1,0,13300040220,0,0,13100,11070,13300040220,足立区千住寿町39-14,2,1,2,20191126,14548,2460,17008,21688,4517,26205,13300040220,足立区千住寿町39-14,2,1,2,20191126,14523,2995,17518,22087,4187,26274,29071,5455,34526,43775,8704,52479,1.52,8.9,15.8,1.31,13100,11070,37146,57205,13100,11180,1,11.5,11.2,11.5,17546,11113,28659,1,16,15.9,16,20690,5636,26326,1,20.2,19,20,56155,32499,88654,1,18.1,18.2,18.2,53865,39429,93294,16,17.4,13100,11180,10,23.8,18.9,24.8,13100,11070,100,100,24.3,17.5,15.75,0.8,3,3,0,0,0,0,6,100,100,0,0,100,100,0,0,3,0,100,3,3.8,6.3,42,1,2,60,2,2,1,4,2,4,1,1,2,4,13100,11070,13300040220,0,0,3,4,一般国道４号
13300040230,0,1,3,4,一般国道４号,2,13403080010,0,千住小松川葛西沖線,,1,13604500270,0,新荒川葛西堤防線,,1,1,13121,0,0,0,,0.5,0,1,0,13300040230,0,0,13100,11080,13300040240,足立区中央本町1-1,1,0,2,20211000,14042,2329,16371,20458,4217,24675,13300040240,足立区中央本町1-1,1,0,2,20211000,11481,2274,13755,17170,3319,20489,25523,4603,30126,37628,7536,45164,1.5,8.9,15.3,1.2,13100,11080,31060,47438,13100,11190,1,27.4,23.9,26.7,13480,6961,20441,1,18.7,17.9,18.6,12381,3934,16315,1,56,53.7,55.7,42635,22320,64955,1,33.2,33.2,33.2,36005,30312,66317,40.3,26.3,13100,11190,11.9,21,31.6,41.2,13100,11070,100,100,24.3,17.5,15.75,0.8,3,3,0,0,0,0,6,100,100,0,0,100,100,0,0,3,0,100,3,3.8,6.3,42,1,2,60,2,2,1,4,2,4,1,1,2,4,13100,11070,13300040230,0,1,3,4,一般国道４号
13300040240,0,1,3,4,一般国道４号,1,13604500270,0,新荒川葛西堤防線,,1,13403070110,0,王子金町江戸川線,,1,1,13121,0,0,0,,1.4,0,1,0,13300040240,0,0,13100,11080,13300040240,足立区中央本町1-1,1,0,2,20211000,14042,2329,16371,20458,4217,24675,13300040240,足立区中央本町1-1,1,0,2,20211000,11481,2274,13755,17170,3319,20489,25523,4603,30126,37628,7536,45164,1.5,8.9,15.3,1.2,13100,11080,31060,47438,13100,11200,1,20.1,19.6,20,15314,10752,26066,1,11.5,11.4,11.5,15523,5087,20610,1,24.3,23.7,24.2,50383,34076,84459,1,14,14.3,14.1,47165,38444,85609,22.5,13.1,13100,11200,18.9,11.8,30.5,16.4,13100,11070,100,100,24.3,17.5,15.75,0.8,3,3,0,0,0,0,6,100,100,0,0,100,100,0,0,3,0,100,3,3.8,6.3,42,1,2,60,2,2,1,4,2,4,1,1,2,4,13100,11070,13300040240,0,1,3,4,一般国道４号
13300040250,0,0,3,4,一般国道４号,1,13403070110,0,王子金町江戸川線,,2,13400490010,0,足立越谷線,,1,1,13121,0,0,0,,3,0,1,0,13300040250,0,0,13100,11090,13300040250,足立区平野2-1,1,0,2,20211000,12729,2077,14806,18793,3996,22789,13300040250,足立区平野2-1,1,0,2,20211000,12602,2625,15227,18938,3907,22845,25331,4702,30033,37731,7903,45634,1.52,8.9,15.7,1,13100,11090,32293,49878,13100,11210,1,11.7,10.8,11.6,11096,8857,19953,1,18.6,18.1,18.5,13197,5667,18864,1,18.7,17.6,18.5,45262,37077,82339,1,21.7,21.1,21.6,40866,46986,87852,15.5,20.4,13100,11210,13.6,20.8,19.2,23.4,13100,11070,100,100,24.3,17.5,15.75,0.8,3,3,0,0,0,0,6,100,100,0,0,100,100,0,0,3,0,100,3,3.8,6.3,42,1,2,60,2,2,1,4,2,4,1,1,2,4,13100,11070,13300040250,0,0,3,4,一般国道４号
13300040260,0,0,3,4,一般国道４号,2,13400490010,0,足立越谷線,,3,11300040010,0,一般国道４号,,1,1,13121,0,0,0,,0.2,0,1,0,13300040260,0,0,13100,11100,13300040260,足立区西保木間3丁目16-18,2,1,2,20191126,7686,1749,9435,11767,3194,14961,13300040260,足立区西保木間3丁目16-18,2,1,2,20191126,8455,2362,10817,13107,3525,16632,16141,4111,20252,24874,6719,31593,1.56,9.7,20.3,0.85,13100,11100,23149,36113,13100,11220,1,53.1,49.7,52.4,10872,7588,18460,1,29.4,30.3,29.5,11722,5162,16884,1,57.4,54.8,56.8,33751,30913,64664,1,32.4,33.2,32.6,34355,40201,74556,55.2,31.6,13100,11220,35.5,27.4,48.8,32.4,13100,11070,100,100,24.3,17.5,15.75,0.8,3,3,0,0,0,0,6,100,100,0,0,100,100,0,0,3,0,100,3,3.8,6.3,42,1,2,60,2,2,1,4,2,4,1,1,2,4,13100,11070,13300040260,0,0,3,4,一般国道４号
13300060010,0,0,3,6,一般国道６号,1,13300040030,0,一般国道４号,,2,13300060270,0,一般国道６号,,1,1,13102,0,0,0,,1,0,1,0,13300060010,0,0,13100,12010,13300060010,中央区日本橋本町４?１５,1,0,1,20211118,7549,692,8241,11089,1263,12352,13300060010,中央区日本橋本町４?１５,1,0,1,20211118,6987,697,7684,10263,1273,11536,14536,1389,15925,21352,2536,23888,1.5,9.6,8.7,1.21,13100,12010,18899,28349,13100,12010,1,18.3,16.4,18,7286,3216,10502,1,13.3,13.1,13.3,8986,1108,10094,1,17.8,16.7,17.7,25631,7713,33344,1,14.3,14.6,14.3,23639,9647,33286,17.8,14,13100,12010,17,12.2,16.5,13.6,13100,12010,100,100,27,18,15.5,0.5,4,4,0,0,0,0,6,100,100,0,0,100,100,0,0,4.5,0,100,3,8,6,11,1,2,50,2,2,1,4,3,4,1,1,2,4,13100,12010,13300060010,0,0,3,6,一般国道６号
13300060020,0,0,3,6,一般国道６号,2,13300060270,0,一般国道６号,,1,13300060280,0,一般国道６号,,1,1,13102,0,0,0,,0.1,0,1,0,13300060020,0,0,13100,12020,,,2,0,0,,13928,1921,15849,21019,2755,23774,,,2,0,0,,11988,1680,13668,18092,2410,20502,25916,3601,29517,39111,5165,44276,1.5,9.2,12.2,1.54,13100,12020,23591,35355,13100,12020,1,5,4.6,5,3990,2071,6061,1,12.4,12,12.4,9713,1315,11028,1,4.9,4.4,4.8,14854,5235,20089,1,13,12.1,12.9,25613,11037,36650,4.9,12.7,13100,12020,6,12,5.6,13.8,13100,12020,100,100,31,25,21,0.5,0,5.5,0,0,0,0,6,100,100,0,0,0,0,0,0,5.5,0,100,3,5,5,23,2,2,50,2,2,1,7,,4,1,1,2,4,13100,12020,13300060020,0,0,3,6,一般国道６号
13300060030,0,0,3,6,一般国道６号,1,13300060280,0,一般国道６号,,6,,,中央区・台東区境,,1,1,13102,0,0,0,,0.1,0,1,0,13300060030,0,0,13100,12020,,,2,0,0,,13928,1921,15849,21019,2755,23774,,,2,0,0,,11988,1680,13668,18092,2410,20502,25916,3601,29517,39111,5165,44276,1.5,9.2,12.2,1.54,13100,12020,23591,35355,13100,12030,1,4.9,4.6,4.9,5595,2587,8182,1,21,19.1,20.9,12032,1575,13607,1,4.6,4.6,4.6,18833,6341,25174,1,21.6,20.5,21.5,31270,13222,44492,4.7,21.3,13100,12030,6.5,19.6,5.7,22.1,13100,12020,100,100,31,25,21,0.5,0,5.5,0,0,0,0,6,100,100,0,0,0,0,0,0,5.5,0,100,3,5,5,23,2,2,50,2,2,1,7,,4,1,1,2,4,13100,12020,13300060030,0,0,3,6,一般国道６号
13300060040,0,0,3,6,一般国道６号,6,,,中央区・台東区境,,1,13403150010,0,御徒町小岩線,,1,1,13106,0,0,0,,0.7,0,1,0,13300060040,0,0,13100,12020,,,2,0,0,,13928,1921,15849,21019,2755,23774,,,2,0,0,,11988,1680,13668,18092,2410,20502,25916,3601,29517,39111,5165,44276,1.5,9.2,12.2,1.71,13100,12020,23591,35355,13100,12030,1,16.4,15.4,16.3,10647,4476,15123,1,13.8,14,13.8,12304,1465,13769,1,16.3,15.4,16.2,31406,10126,41532,1,16.4,17.5,16.5,31607,13121,44728,16.2,15.6,13100,12030,17.6,15,17.4,17.5,13100,12030,100,100,27,18,13.5,0.5,4.5,4.5,0,0,0,0,4,100,100,0,0,100,100,0,0,4.5,0,100,3,5.9,11.1,36,1,2,50,2,2,1,4,3,4,1,1,2,4,13100,12030,13300060040,0,0,3,6,一般国道６号
13300060050,0,0,3,6,一般国道６号,1,13403150010,0,御徒町小岩線,,2,13604620010,0,蔵前三ノ輪線,,1,1,13106,0,0,0,,0.1,0,1,0,13300060050,0,0,13100,12020,,,2,0,0,,13928,1921,15849,21019,2755,23774,,,2,0,0,,11988,1680,13668,18092,2410,20502,25916,3601,29517,39111,5165,44276,1.5,9.2,12.2,1.71,13100,12020,23591,35355,13100,12040,1,12.4,12.1,12.3,9809,4447,14256,1,19.2,14.6,18.1,4390,2386,6776,1,11.9,12.2,11.9,29443,9941,39384,1,17.6,16.3,17.5,27253,12174,39427,12,17.7,13100,12040,12.3,15.1,11.6,16.3,13100,12030,100,100,27,18,13.5,0.5,4.5,4.5,0,0,0,0,4,100,100,0,0,100,100,0,0,4.5,0,100,3,5.9,11.1,36,1,2,50,2,2,1,4,3,4,1,1,2,4,13100,12030,13300060050,0,0,3,6,一般国道６号
13300060060,0,0,3,6,一般国道６号,2,13604620010,0,蔵前三ノ輪線,,1,13604530060,0,本郷亀戸線,,1,1,13106,0,0,0,,0.5,0,1,0,13300060060,0,0,13100,12020,,,2,0,0,,13928,1921,15849,21019,2755,23774,,,2,0,0,,11988,1680,13668,18092,2410,20502,25916,3601,29517,39111,5165,44276,1.5,9.2,12.2,1.71,13100,12020,23591,35355,13100,12050,1,15.1,14.4,15,7725,3349,11074,1,17.3,16.7,17.3,9489,1358,10847,1,14.9,14.3,14.8,22568,7485,30053,1,19.5,19.2,19.5,24518,11427,35945,14.9,18.8,13100,12050,13.1,20,14.9,20.1,13100,12030,100,100,27,18,13.5,0.5,4.5,4.5,0,0,0,0,4,100,100,0,0,100,100,0,0,4.5,0,100,3,5.9,11.1,36,1,2,50,2,2,1,4,3,4,1,1,2,4,13100,12030,13300060060,0,0,3,6,一般国道６号
13300060070,0,0,3,6,一般国道６号,1,13604530060,0,本郷亀戸線,,1,13604630020,0,上野月島線,,1,1,13106,0,0,0,,0.5,0,1,0,13300060070,0,0,13100,12020,,,2,0,0,,13928,1921,15849,21019,2755,23774,,,2,0,0,,11988,1680,13668,18092,2410,20502,25916,3601,29517,39111,5165,44276,1.5,9.2,12.2,1.71,13100,12020,23591,35355,13100,12060,1,19.5,18.1,19.3,7888,3786,11674,1,13.9,13.3,13.8,9466,1451,10917,1,19.5,18.2,19.4,24328,8258,32586,1,15.1,15.1,15.1,25455,11978,37433,19.4,14.7,13100,12060,22,13.4,21.9,13,13100,12030,100,100,27,18,13.5,0.5,4.5,4.5,0,0,0,0,4,100,100,0,0,100,100,0,0,4.5,0,100,3,5.9,11.1,36,1,2,50,2,2,1,4,3,4,1,1,2,4,13100,12030,13300060070,0,0,3,6,一般国道６号
13300060080,0,0,3,6,一般国道６号,1,13604630020,0,上野月島線,,2,13604630070,0,上野月島線,,1,1,13106,0,0,0,,0.3,0,1,0,13300060080,0,0,13100,12020,,,2,0,0,,13928,1921,15849,21019,2755,23774,,,2,0,0,,11988,1680,13668,18092,2410,20502,25916,3601,29517,39111,5165,44276,1.5,9.2,12.2,1.71,13100,12020,23591,35355,13100,12070,1,12,11.6,12,7640,3695,11335,1,11.8,10.7,11.7,9561,1456,11017,1,13.1,12.7,13.1,24117,7960,32077,1,12.5,11.9,12.4,23959,11411,35370,12.7,12.2,13100,12070,13.2,9.8,13,9.3,13100,12030,100,100,27,18,13.5,0.5,4.5,4.5,0,0,0,0,4,100,100,0,0,100,100,0,0,4.5,0,100,3,5.9,11.1,36,1,2,50,2,2,1,4,3,4,1,1,2,4,13100,12030,13300060080,0,0,3,6,一般国道６号
13300060090,0,0,3,6,一般国道６号,2,13604630070,0,上野月島線,,2,13403140010,0,言問大谷田線,,1,1,13106,0,0,0,,0.6,0,1,0,13300060090,0,0,13100,12020,,,2,0,0,,13928,1921,15849,21019,2755,23774,,,2,0,0,,11988,1680,13668,18092,2410,20502,25916,3601,29517,39111,5165,44276,1.5,9.2,12.2,1.71,13100,12020,23591,35355,13100,12080,1,10.2,9.2,10,5194,2493,7687,1,14.1,14.1,14.1,8662,1263,9925,1,13.6,12.6,13.4,17004,5670,22674,1,14,13.9,14,20302,10155,30457,12.1,14,13100,12080,11.6,13.8,14.4,14,13100,12030,100,100,27,18,13.5,0.5,4.5,4.5,0,0,0,0,4,100,100,0,0,100,100,0,0,4.5,0,100,3,5.9,11.1,36,1,2,50,2,2,1,4,3,4,1,1,2,4,13100,12030,13300060090,0,0,3,6,一般国道６号
13300060100,0,0,3,6,一般国道６号,2,13403140010,0,言問大谷田線,,6,,,台東区・墨田区境,,1,1,13106,0,0,0,,0.2,0,1,0,13300060100,0,0,13100,12030,13300060120,墨田区向島3丁目1-2,2,1,2,20191126,10898,1601,12499,16051,2661,18712,13300060120,墨田区向島3丁目1-2,2,1,2,20191126,8700,1616,10316,13312,2199,15511,19598,3217,22815,29363,4860,34223,1.5,9.3,14.1,1.79,13100,12030,19164,28554,13100,12090,1,8.9,8.2,8.8,9418,4217,13635,1,22.9,18.9,22.6,9813,1281,11094,1,10,9,9.8,30797,12333,43130,1,23.6,20.5,23,30609,14045,44654,9.4,22.9,13100,12090,7.7,25.9,9.8,27.2,13100,12040,100,100,21.9,16.5,15,0.5,2.7,2.7,0,0,0,0,4,100,100,0,0,100,100,0,0,2.7,0,100,3,0,5,26,4,2,50,2,2,2,7,,4,1,1,2,4,13100,12040,13300060100,0,0,3,6,一般国道６号
